country,movie,total_gross,total_gross_log,x_radar,y_radar,index_radar,index_radar_2
Australia,a_star_is_born,24815287.0,17.02697043252213,16.600068734560445,3.7888573630913758,0,1
Australia,a_star_is_born,24815287.0,17.02697043252213,13.312221535198093,-10.61614242122773,1,2
Australia,a_star_is_born,24815287.0,17.02697043252213,0.0,0.0,2,3
China,a_star_is_born,,0.0,0.0,0.0,0,4
China,a_star_is_born,,0.0,0.0,0.0,1,5
China,a_star_is_born,,0.0,0.0,0.0,2,6
France,a_star_is_born,15752324.0,16.57249846790622,-12.956901045362281,-10.332783786059007,0,7
France,a_star_is_born,15752324.0,16.57249846790622,-16.156991330952284,3.6877278370680786,1,8
France,a_star_is_born,15752324.0,16.57249846790622,0.0,0.0,2,9
Japan,a_star_is_born,10934060.0,16.207393245892302,12.671450288378317,-10.105144403527959,0,10
Japan,a_star_is_born,10934060.0,16.207393245892302,1.9848332261104438e-15,-16.207393245892302,1,11
Japan,a_star_is_born,10934060.0,16.207393245892302,0.0,0.0,2,12
South Korea,a_star_is_born,3700000.0,15.123843377614453,1.8521366383201436e-15,-15.123843377614453,0,13
South Korea,a_star_is_born,3700000.0,15.123843377614453,-11.82429688853461,-9.429562110851347,1,14
South Korea,a_star_is_born,3700000.0,15.123843377614453,0.0,0.0,2,15
United Kingdom,a_star_is_born,38107402.0,17.455919099442585,-17.01826276283438,3.884307421073827,0,16
United Kingdom,a_star_is_born,38107402.0,17.455919099442585,-7.57383944859975,15.727239669221,1,17
United Kingdom,a_star_is_born,38107402.0,17.455919099442585,0.0,0.0,2,18
United States,a_star_is_born,206361489.0,19.14513998986034,-8.306764924729693,17.2491751024978,0,19
United States,a_star_is_born,206361489.0,19.14513998986034,8.306764924729693,17.2491751024978,1,20
United States,a_star_is_born,206361489.0,19.14513998986034,0.0,0.0,2,21
Australia,black_panther,31939868.0,17.279365567993697,16.846135797030584,3.8450205643625393,0,1
Australia,black_panther,31939868.0,17.279365567993697,13.509551998131547,-10.773508214233004,1,2
Australia,black_panther,31939868.0,17.279365567993697,0.0,0.0,2,3
China,black_panther,105062459.0,18.47006557888913,8.013861115114922,16.64095407469518,0,4
China,black_panther,105062459.0,18.47006557888913,18.006982472687746,4.109976242848785,1,5
China,black_panther,105062459.0,18.47006557888913,0.0,0.0,2,6
France,black_panther,33114492.0,17.315481569303405,-13.537788624976336,-10.796026172733523,0,7
France,black_panther,33114492.0,17.315481569303405,-16.881346294783814,3.8530571307047388,1,8
France,black_panther,33114492.0,17.315481569303405,0.0,0.0,2,9
Japan,black_panther,14655352.0,16.500316150944784,12.90046663748434,-10.287778847559016,0,10
Japan,black_panther,14655352.0,16.500316150944784,2.0207059359173904e-15,-16.500316150944784,1,11
Japan,black_panther,14655352.0,16.500316150944784,0.0,0.0,2,12
South Korea,black_panther,42859368.0,17.573434802217367,2.1521250680560198e-15,-17.573434802217367,0,13
South Korea,black_panther,42859368.0,17.573434802217367,-13.73946458347288,-10.956857382811869,1,14
South Korea,black_panther,42859368.0,17.573434802217367,0.0,0.0,2,15
United Kingdom,black_panther,70631008.0,18.072979812839264,-17.61985247583563,4.021616347326606,0,16
United Kingdom,black_panther,70631008.0,18.072979812839264,-7.841572058190849,16.283192161597064,1,17
United Kingdom,black_panther,70631008.0,18.072979812839264,0.0,0.0,2,18
United States,black_panther,700059566.0,20.36667598367308,-8.836769529191846,18.349741003945322,0,19
United States,black_panther,700059566.0,20.36667598367308,8.836769529191846,18.349741003945322,1,20
United States,black_panther,700059566.0,20.36667598367308,0.0,0.0,2,21
Australia,blackkklansman,3093207.0,14.944718974743036,14.570023668190313,3.3255128239744747,0,1
Australia,blackkklansman,3093207.0,14.944718974743036,11.684251791091448,-9.317879872396984,1,2
Australia,blackkklansman,3093207.0,14.944718974743036,0.0,0.0,2,3
China,blackkklansman,,0.0,0.0,0.0,0,4
China,blackkklansman,,0.0,0.0,0.0,1,5
China,blackkklansman,,0.0,0.0,0.0,2,6
France,blackkklansman,10437988.0,16.160962401539308,-12.635149192505576,-10.076195245582177,0,7
France,blackkklansman,10437988.0,16.160962401539308,-15.755773332981668,3.5961524472234054,1,8
France,blackkklansman,10437988.0,16.160962401539308,0.0,0.0,2,9
Japan,blackkklansman,,0.0,0.0,-0.0,0,10
