movie,variable,value,max,x_radar,y_radar,index_radar,index_radar_2
bohemian rhapsody,rt_top_critics,48.0,0,0.0,48.0,0,20
bohemian rhapsody,rt_top_critics,48.0,0,37.52791115846543,29.927510489219213,1,21
bohemian rhapsody,rt_top_critics,48.0,0,0.0,0.0,2,22
green book,imdb_18,82.0,0,-79.94408879890955,-18.246716584417726,0,1
green book,imdb_18,82.0,0,-64.11018156237846,51.12616375241613,1,2
green book,imdb_18,82.0,0,0.0,0.0,2,3
green book,imdb_18_29,83.0,0,-36.012350346757316,-74.78041603590079,0,4
green book,imdb_18_29,83.0,0,-80.91901671109137,-18.46923751837404,1,5
green book,imdb_18_29,83.0,0,0.0,0.0,2,6
green book,imdb_30_44,82.0,0,35.578466607639776,-73.87944716799836,0,7
green book,imdb_30_44,82.0,0,-35.578466607639754,-73.87944716799836,1,8
green book,imdb_30_44,82.0,0,0.0,0.0,2,9
green book,imdb_45,84.0,1,81.89394462327319,-18.691758452330404,0,10
green book,imdb_45,84.0,1,36.44623408587489,-75.6813849038032,1,11
green book,imdb_45,84.0,1,0.0,0.0,2,12
green book,median_age,62.0,0,0.0,0.0,0,13
green book,rt_all_critics,82.0,0,-64.11018156237846,51.12616375241613,0,14
green book,rt_all_critics,82.0,0,-2.0084207506016593e-14,82.0,1,15
green book,rt_all_critics,82.0,0,0.0,0.0,2,16
green book,rt_audience_score,95.0,1,74.27399083446282,59.23153117657969,0,17
green book,rt_audience_score,95.0,1,92.61815165727324,-21.139488725849862,1,18
green book,rt_audience_score,95.0,1,0.0,0.0,2,19
green book,rt_top_critics,80.0,0,0.0,80.0,0,20
green book,rt_top_critics,80.0,0,62.54651859744237,49.879184148698684,1,21
green book,rt_top_critics,80.0,0,0.0,0.0,2,22
roma,imdb_18,85.0,1,-82.86887253545501,-18.914279386286665,0,1
roma,imdb_18,85.0,1,-66.45567600978254,52.996633157992335,1,2
roma,imdb_18,85.0,1,0.0,0.0,2,3
roma,imdb_18_29,82.0,0,-35.578466607639754,-73.87944716799836,0,4
roma,imdb_18_29,82.0,0,-79.94408879890955,-18.246716584417726,1,5
roma,imdb_18_29,82.0,0,0.0,0.0,2,6
roma,imdb_30_44,78.0,0,33.84293165116954,-70.27557169638868,0,7
roma,imdb_30_44,78.0,0,-33.84293165116952,-70.2755716963887,1,8
roma,imdb_30_44,78.0,0,0.0,0.0,2,9
roma,imdb_45,78.0,0,76.04437715018224,-17.35663284859252,0,10
roma,imdb_45,78.0,0,33.84293165116954,-70.27557169638868,1,11
roma,imdb_45,78.0,0,0.0,0.0,2,12
roma,median_age,62.0,0,0.0,0.0,0,13
roma,rt_all_critics,96.0,0,-75.05582231693087,59.855020978438404,0,14
roma,rt_all_critics,96.0,0,-2.351321854362918e-14,96.0,1,15
roma,rt_all_critics,96.0,0,0.0,0.0,2,16
roma,rt_audience_score,83.0,0,64.89201304484646,51.749653554274886,0,17
roma,rt_audience_score,83.0,0,80.91901671109136,-18.46923751837409,1,18
roma,rt_audience_score,83.0,0,0.0,0.0,2,19
roma,rt_top_critics,98.0,1,0.0,98.0,0,20
roma,rt_top_critics,98.0,1,76.61948528186691,61.102000582155895,1,21
roma,rt_top_critics,98.0,1,0.0,0.0,2,22
the favourite,imdb_18,82.0,1,-79.94408879890955,-18.246716584417726,0,1
the favourite,imdb_18,82.0,1,-64.11018156237846,51.12616375241613,1,2
the favourite,imdb_18,82.0,1,0.0,0.0,2,3
the favourite,imdb_18_29,80.0,0,-34.71069912940464,-72.07750943219354,0,4
the favourite,imdb_18_29,80.0,0,-77.9942329745459,-17.801674716505097,1,5
the favourite,imdb_18_29,80.0,0,0.0,0.0,2,6
the favourite,imdb_30_44,78.0,0,33.84293165116954,-70.27557169638868,0,7
the favourite,imdb_30_44,78.0,0,-33.84293165116952,-70.2755716963887,1,8
the favourite,imdb_30_44,78.0,0,0.0,0.0,2,9
the favourite,imdb_45,75.0,0,73.11959341363678,-16.689070046723575,0,10
the favourite,imdb_45,75.0,0,32.541280433816866,-67.57266509268143,1,11
the favourite,imdb_45,75.0,0,0.0,0.0,2,12
the favourite,median_age,62.0,0,0.0,0.0,0,13
the favourite,rt_all_critics,93.0,0,-72.71032786952678,57.9845515728622,0,14
the favourite,rt_all_critics,93.0,0,-2.277843046414077e-14,93.0,1,15
the favourite,rt_all_critics,93.0,0,0.0,0.0,2,16
the favourite,rt_audience_score,62.0,0,48.47355191301784,38.65636771524148,0,17
the favourite,rt_audience_score,62.0,0,60.445530555273066,-13.796297905291489,1,18
the favourite,rt_audience_score,62.0,0,0.0,0.0,2,19
the favourite,rt_top_critics,98.0,1,0.0,98.0,0,20
the favourite,rt_top_critics,98.0,1,76.61948528186691,61.102000582155895,1,21
the favourite,rt_top_critics,98.0,1,0.0,0.0,2,22
vice,imdb_18,78.0,1,-76.04437715018226,-17.356632848592472,0,1
vice,imdb_18,78.0,1,-60.982855632506336,48.63220454498121,1,2
vice,imdb_18,78.0,1,0.0,0.0,2,3
vice,imdb_18_29,71.0,0,-30.80574547734662,-63.96878962107176,0,4
vice,imdb_18_29,71.0,0,-69.21988176490949,-15.798986310898275,1,5
vice,imdb_18_29,71.0,0,0.0,0.0,2,6
vice,imdb_30_44,71.0,0,30.805745477346633,-63.96878962107175,0,7
vice,imdb_30_44,71.0,0,-30.80574547734662,-63.96878962107176,1,8
vice,imdb_30_44,71.0,0,0.0,0.0,2,9
vice,imdb_45,70.0,0,68.24495385272765,-15.576465376942004,0,10
vice,imdb_45,70.0,0,30.371861738229075,-63.06782075316933,1,11
vice,imdb_45,70.0,0,0.0,0.0,2,12
vice,median_age,62.0,0,0.0,0.0,0,13
vice,rt_all_critics,66.0,1,-51.60087784288997,41.1503269226764,0,14
vice,rt_all_critics,66.0,1,-1.6165337748745062e-14,66.0,1,15
vice,rt_all_critics,66.0,1,0.0,0.0,2,16
vice,rt_audience_score,55.0,0,43.000731535741636,34.291939102230344,0,17
vice,rt_audience_score,55.0,0,53.6210351700003,-12.238651367597289,1,18
vice,rt_audience_score,55.0,0,0.0,0.0,2,19
vice,rt_top_critics,59.0,0,0.0,59.0,0,20
vice,rt_top_critics,59.0,0,46.12805746561375,36.785898309665285,1,21
vice,rt_top_critics,59.0,0,0.0,0.0,2,22
